assembly_accession,organism_name,infraspecific_name,new_genus,new_species,new_strain,label
GCA_011047875.1,Synechococcus sp.,,Leptococcus,yellowstonii,JA-3-3-Ab1,Leptococcus_yellowstonii_JA-3-3Ab
GCA_011055065.1,Synechococcus sp.,,Leptococcus,yellowstonii,JA-3-3-Ab2,Leptococcus_yellowstonii_JA-3-3Ab
GCA_012269695.1,Synechococcus sp.,,Inmanicoccus,sp.,RCC307a,Regnicoccus_sp._RCC3007
GCA_012270465.1,Synechococcus sp.,,Inmanicoccus,sp.,RCC307b,Regnicoccus_sp._RCC3007
GCA_003846445.1,Synechococcus elongatus PCC 11801,PCC 11801,Synechococcus,elongatus,PCC 11801,c_Cyanobacteriia_o_Synechococcales_f_Synechococcaceae_g_Synechococcus_s_
GCA_009498715.1,Synechococcus elongatus PCC 11802,PCC 11802,Synechococcus,elongatus,PCC 11802,c_Cyanobacteriia_o_Synechococcales_f_Synechococcaceae_g_Synechococcus_s_
GCA_000019485.1,Synechococcus sp. PCC 7002,PCC 7002,Limnothrix,euryhalinus,PCC_7002_ATCC_27264,Limnothrix_euryhalinus_PCC7002
GCA_004209775.1,Synechococcus sp. WH 8101,WH 8101,Synechococcus-C,Cyanobacteriia,WH8101,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_003555505.1,Thermosynechococcus elongatus PKUAC-SCTE542,PKUAC-SCTE542,Thermosynechococcus,elongatus,PKUAC-SCTE542,c_Cyanobacteriia_o_Thermosynechococcales_f_Thermosynechococcaceae_g_Thermosynechococcus_s_
GCA_902527915.1,uncultured Synechococcus sp.,,Synechococcus_C,Cyanobacteriia,GCA_902527915.1,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_902533725.1,uncultured Synechococcus sp.,,Synechococcus_C,Cyanobacteriia,GCA_902533725.1,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_902540675.1,uncultured Synechococcus sp.,,Synechococcus_C,Cyanobacteriia,GCA_902540675.1,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_902548805.1,uncultured Synechococcus sp.,,Synechococcus_C,Cyanobacteriia,GCA_902548805.1,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
