assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,local_fna,filename,is_synecho,proteins_path,genes_path,checkm_completeness,checkm_contamination,quality_filter,classification,fastani_reference,fastani_reference_radius,fastani_taxonomy,fastani_ani,fastani_af,closest_placement_reference,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",aa_percent,translation_table,red_value,warnings,gtdb_domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,gc,megabases,organism_name,infraspecific_name,new_genus,new_species,new_strain,label,protein_filename,gtt_label
GCA_009919765.1,PRJNA495371,SAMN10223114,RGBH00000000.1,derived from metagenome,na,,1131,1131,WB6_4_196,latest,Contig,Major,Full,2020/01/23,ASM991976v1,Georgia Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/919/765/GCA_009919765.1_ASM991976v1,./genbank/bacteria/GCA_009919765.1/GCA_009919765.1_ASM991976v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_009919765.1_ASM991976v1_genomic.fna,GCA_009919765.1_ASM991976v1,True,..//ncbi/processing/prodigal_proteins/GCA_009919765.1_ASM991976v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_009919765.1_ASM991976v1_genomic_prodigal_genes.fna,79.15,2.27,True,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__RCC307;s__RCC307 sp000063525,GCF_000063525.1,95.0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__RCC307;s__RCC307 sp000063525,98.23,0.98,GCF_000063525.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__RCC307;s__RCC307 sp000063525,98.23,0.98,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__RCC307;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCA_002470305.1, s__RCC307 sp002470305, 95.0, 79.45, 0.54; GCA_002168155.1, s__RCC307 sp002168155, 95.0, 79.2, 0.5",73.61,11.0,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,RCC307,RCC307 sp000063525,0.6168100000000001,1.774171,Synechococcus sp.,,Inmanicoccus,mediterranei,WB6_4_196,Inmanicoccus_mediterranei_WB6_4_196,GCA_009919765.1_ASM991976v1_genomic_prodigal_proteins.faa,Inmanicoccus_mediterranei_WB6_4_196 # GCA_009919765.1
GCA_011047875.1,PRJNA480137,SAMN09639364,DSMC00000000.1,derived from metagenome,na,,1131,1131,SpSt-285,latest,Scaffold,Major,Full,2020/03/02,ASM1104787v1,The University of Hong Kong,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/047/875/GCA_011047875.1_ASM1104787v1,./genbank/bacteria/GCA_011047875.1/GCA_011047875.1_ASM1104787v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_011047875.1_ASM1104787v1_genomic.fna,GCA_011047875.1_ASM1104787v1,True,..//ncbi/processing/prodigal_proteins/GCA_011047875.1_ASM1104787v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_011047875.1_ASM1104787v1_genomic_prodigal_genes.fna,97.83,1.36,True,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-7336;f__JA-3-3Ab;g__JA-3-3Ab;s__,,,,,,GCF_000013225.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-7336;f__JA-3-3Ab;g__JA-3-3Ab;s__JA-3-3Ab sp000013225,92.3,0.91,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-7336;f__JA-3-3Ab;g__JA-3-3Ab;s__,Placement,taxonomic classification fully defined by topology,"GCF_000013205.1, s__JA-3-3Ab sp000013205, 95.0, 83.99, 0.8",95.46,11.0,0.9862022043125112,,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-7336,JA-3-3Ab,JA-3-3Ab,,0.58116,2.96057,Synechococcus sp.,,Leptococcus,yellowstonii.x,GCA_011047875.1,Leptococcus_sp.x_GCA_011047875.1,GCA_011047875.1_ASM1104787v1_genomic_prodigal_proteins.faa,Leptococcus_sp._GCA_011047875.1 # GCA_011047875.1
GCA_011055065.1,PRJNA480137,SAMN09639229,DSGY00000000.1,derived from metagenome,na,,1131,1131,SpSt-164,latest,Scaffold,Major,Full,2020/03/02,ASM1105506v1,The University of Hong Kong,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/055/065/GCA_011055065.1_ASM1105506v1,./genbank/bacteria/GCA_011055065.1/GCA_011055065.1_ASM1105506v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_011055065.1_ASM1105506v1_genomic.fna,GCA_011055065.1_ASM1105506v1,True,..//ncbi/processing/prodigal_proteins/GCA_011055065.1_ASM1105506v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_011055065.1_ASM1105506v1_genomic_prodigal_genes.fna,96.99,1.09,True,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-7336;f__JA-3-3Ab;g__JA-3-3Ab;s__,,,,,,GCF_000013225.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-7336;f__JA-3-3Ab;g__JA-3-3Ab;s__JA-3-3Ab sp000013225,92.33,0.92,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-7336;f__JA-3-3Ab;g__JA-3-3Ab;s__,Placement,taxonomic classification fully defined by topology,"GCF_000013205.1, s__JA-3-3Ab sp000013205, 95.0, 83.96, 0.83",92.94,11.0,0.9860809627441158,,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-7336,JA-3-3Ab,JA-3-3Ab,,0.5815100000000001,2.895453,Synechococcus sp.,,Leptococcus,yellowstonii.x,GCA_011055065.1,Leptococcus_sp.x_GCA_011055065.1,GCA_011055065.1_ASM1105506v1_genomic_prodigal_proteins.faa,Leptococcus_sp._GCA_011055065.1 # GCA_011055065.1
GCA_012269695.1,PRJNA545004,SAMN12098012,JAAXJU000000000.1,derived from metagenome,na,,1131,1131,SW42618_bin_11,latest,Scaffold,Major,Full,2020/04/09,ASM1226969v1,Australian Centre for Ecogenomics,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/269/695/GCA_012269695.1_ASM1226969v1,./genbank/bacteria/GCA_012269695.1/GCA_012269695.1_ASM1226969v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_012269695.1_ASM1226969v1_genomic.fna,GCA_012269695.1_ASM1226969v1,True,..//ncbi/processing/prodigal_proteins/GCA_012269695.1_ASM1226969v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_012269695.1_ASM1226969v1_genomic_prodigal_genes.fna,74.28,2.61,True,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__RCC307;s__,,,,,,GCF_000063525.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__RCC307;s__RCC307 sp000063525,90.76,0.95,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__RCC307;s__,Placement,taxonomic classification fully defined by topology,"GCA_002470305.1, s__RCC307 sp002470305, 95.0, 79.28, 0.56; GCA_002168155.1, s__RCC307 sp002168155, 95.0, 78.62, 0.54",67.0,11.0,0.984455672221172,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,RCC307,,0.62316,1.553595,Synechococcus sp.,,Inmanicoccus,sp.6,GCA_012269695.1,Inmanicoccus_sp.6_GCA_012269695.1,GCA_012269695.1_ASM1226969v1_genomic_prodigal_proteins.faa,Inmanicoccus_sp._GCA_012269695.1 # GCA_012269695.1
GCA_012270465.1,PRJNA545004,SAMN12098011,JAAXIH000000000.1,derived from metagenome,na,,1131,1131,SW22112_bin_11,latest,Scaffold,Major,Full,2020/04/09,ASM1227046v1,Australian Centre for Ecogenomics,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/270/465/GCA_012270465.1_ASM1227046v1,./genbank/bacteria/GCA_012270465.1/GCA_012270465.1_ASM1227046v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_012270465.1_ASM1227046v1_genomic.fna,GCA_012270465.1_ASM1227046v1,True,..//ncbi/processing/prodigal_proteins/GCA_012270465.1_ASM1227046v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_012270465.1_ASM1227046v1_genomic_prodigal_genes.fna,83.65,0.82,True,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__RCC307;s__,,,,,,GCF_000063525.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__RCC307;s__RCC307 sp000063525,90.84,0.95,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__RCC307;s__,Placement,taxonomic classification fully defined by topology,"GCA_002470305.1, s__RCC307 sp002470305, 95.0, 79.4, 0.53; GCA_002168155.1, s__RCC307 sp002168155, 95.0, 78.65, 0.53",74.21,11.0,0.9818896797816896,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,RCC307,,0.62145,1.78462,Synechococcus sp.,,Inmanicoccus,sp.6,GCA_012270465.1,Inmanicoccus_sp.6_GCA_012270465.1,GCA_012270465.1_ASM1227046v1_genomic_prodigal_proteins.faa,Inmanicoccus_sp._GCA_012270465.1 # GCA_012270465.1
GCA_001182765.1,PRJEB8389,SAMEA3233744,,,na,,29410,29410,WH 8103,latest,Complete Genome,Major,Full,2015/07/10,WH8103.1,STATION BIOLOGIQUE DE ROSCOFF (CNRS - UPMC) - UMR7144 - MAPP TEAM,GCF_001182765.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/182/765/GCA_001182765.1_WH8103.1,./genbank/bacteria/GCA_001182765.1/GCA_001182765.1_WH8103.1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_001182765.1_WH8103.1_genomic.fna,GCA_001182765.1_WH8103.1,True,..//ncbi/processing/prodigal_proteins/GCA_001182765.1_WH8103.1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_001182765.1_WH8103.1_genomic_prodigal_genes.fna,99.73,0.27,True,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp000195975,GCF_000195975.1,95.0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp000195975,99.06,0.94,GCF_000195975.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp000195975,99.06,0.94,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCA_003211535.1, s__Synechococcus_C sp003211535, 95.0, 84.74, 0.8; GCA_002724845.1, s__Synechococcus_C sp002724845, 95.0, 80.99, 0.68; GCF_000161795.2, s__Synechococcus_C sp000161795, 95.0, 80.79, 0.56; GCF_000737575.1, s__Synechococcus_C sp000737575, 95.0, 80.79, 0.56; GCA_002170825.1, s__Synechococcus_C sp002170825, 95.0, 80.78, 0.62; GCF_000012625.1, s__Synechococcus_C sp000012625, 95.0, 80.63, 0.54; GCF_000737595.1, s__Synechococcus_C sp000737595, 95.0, 80.52, 0.52; GCA_003209165.1, s__Synechococcus_C sp003209165, 95.0, 80.01, 0.46; GCA_002691345.1, s__Synechococcus_C sp002691345, 95.0, 79.88, 0.52; GCF_000063505.1, s__Synechococcus_C sp000063505, 95.0, 79.79, 0.34; GCF_000515235.1, s__Synechococcus_C sp000515235, 95.0, 79.5, 0.39; GCA_003210735.1, s__Synechococcus_C sp003210735, 95.0, 79.37, 0.42; GCA_003211235.1, s__Synechococcus_C sp003211235, 95.0, 79.26, 0.43; GCA_003210795.1, s__Synechococcus_C sp003210795, 95.0, 79.2, 0.46; GCF_000153285.1, s__Synechococcus_C sp000153285, 95.0, 79.19, 0.33; GCF_000737535.1, s__Synechococcus_C sp000737535, 95.0, 79.18, 0.44; GCF_000153825.1, s__Synechococcus_C sp000153825, 95.0, 79.02, 0.36; GCA_002700765.1, s__Synechococcus_C sp002700765, 95.0, 78.99, 0.42; GCF_000153065.1, s__Synechococcus_C sp000153065, 95.0, 78.85, 0.41; GCA_002172935.1, s__Synechococcus_C sp002172935, 95.0, 78.68, 0.34; GCA_002690325.1, s__Synechococcus_C sp002690325, 95.0, 78.47, 0.34; GCF_000012505.1, s__Synechococcus_C sp000012505, 95.0, 78.36, 0.3; GCA_002693285.1, s__Synechococcus_C sp002693285, 95.0, 78.36, 0.29; GCF_000153805.1, s__Synechococcus_C sp000153805, 95.0, 78.22, 0.31; GCF_001631935.1, s__Synechococcus_C sp001631935, 95.0, 78.21, 0.28; GCA_003211515.1, s__Synechococcus_C sp003211515, 95.0, 78.19, 0.22; GCA_002698505.1, s__Synechococcus_C sp002698505, 95.0, 78.11, 0.28; GCA_002500205.1, s__Synechococcus_C sp002500205, 95.0, 78.08, 0.14; GCA_003209155.1, s__Synechococcus_C sp003209155, 95.0, 78.06, 0.24; GCA_003208835.1, s__Synechococcus_C sp003208835, 95.0, 78.02, 0.26; GCA_002684175.1, s__Synechococcus_C sp002684175, 95.0, 77.98, 0.34; GCA_003211205.1, s__Synechococcus_C sp003211205, 95.0, 77.93, 0.25; GCF_000230675.1, s__Synechococcus_C sp000230675, 95.0, 77.79, 0.2; GCF_001632165.1, s__Synechococcus_C sp001632165, 95.0, 77.64, 0.26; GCA_002701375.1, s__Synechococcus_C sp002701375, 95.0, 77.32, 0.21",94.92,11.0,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_C,Synechococcus_C sp000195975,0.5947399999999999,2.429688,Synechococcus sp. WH 8103,,Parasynechococcus,marenigrum,WH_8103,Parasynechococcus_marenigrum_WH_8103,GCA_001182765.1_WH8103.1_genomic_prodigal_proteins.faa,Parasynechococcus_marenigrum_WH_8103 # GCA_001182765.1
GCA_000010065.1,PRJNA13282,SAMD00061073,,,representative genome,assembly from type material,269084,32046,,latest,Complete Genome,Major,Full,2004/12/16,ASM1006v1,"Nagoya University, Japan",GCF_000010065.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/065/GCA_000010065.1_ASM1006v1,./genbank/bacteria/GCA_000010065.1/GCA_000010065.1_ASM1006v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_000010065.1_ASM1006v1_genomic.fna,GCA_000010065.1_ASM1006v1,True,..//ncbi/processing/prodigal_proteins/GCA_000010065.1_ASM1006v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_000010065.1_ASM1006v1_genomic_prodigal_genes.fna,99.73,0.0,True,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus elongatus,GCF_000010065.1,95.0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus elongatus,100.0,1.0,GCF_000010065.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus elongatus,100.0,1.0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__;g__;s__,ANI/Placement,topological placement and ANI have congruent species assignments,,95.62,11.0,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus elongatus,0.55484,2.696255,Synechococcus elongatus PCC 6301,strain=PCC 6301,Synechococcus,elongatus,PCC_6301,Synechococcus_elongatus_PCC_6301,GCA_000010065.1_ASM1006v1_genomic_prodigal_proteins.faa,Synechococcus_elongatus_PCC_6301 # GCA_000010065.1
GCA_000012525.1,PRJNA10645,SAMN02598254,,,na,,1140,32046,,latest,Complete Genome,Major,Full,2005/11/08,ASM1252v1,DOE Joint Genome Institute,GCF_000012525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/525/GCA_000012525.1_ASM1252v1,./genbank/bacteria/GCA_000012525.1/GCA_000012525.1_ASM1252v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_000012525.1_ASM1252v1_genomic.fna,GCA_000012525.1_ASM1252v1,True,..//ncbi/processing/prodigal_proteins/GCA_000012525.1_ASM1252v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_000012525.1_ASM1252v1_genomic_prodigal_genes.fna,100.0,0.0,True,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus elongatus,GCF_000010065.1,95.0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus elongatus,99.91,1.0,GCF_000010065.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus elongatus,99.91,1.0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__;g__;s__,ANI/Placement,topological placement and ANI have congruent species assignments,,95.99,11.0,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus elongatus,0.5542600000000001,2.742269,Synechococcus elongatus PCC 7942 = FACHB-805,strain=PCC 7942,Synechococcus,elongatus,PCC_7942,Synechococcus_elongatus_PCC_7942,GCA_000012525.1_ASM1252v1_genomic_prodigal_proteins.faa,Synechococcus_elongatus_PCC_7942 # GCA_000012525.1
GCA_003846445.1,PRJNA476044,SAMN09425400,,,na,,2219813,32046,,latest,Chromosome,Major,Full,2018/11/28,ASM384644v1,Indian Institute of Technology Bombay,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/846/445/GCA_003846445.1_ASM384644v1,./genbank/bacteria/GCA_003846445.1/GCA_003846445.1_ASM384644v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_003846445.1_ASM384644v1_genomic.fna,GCA_003846445.1_ASM384644v1,True,..//ncbi/processing/prodigal_proteins/GCA_003846445.1_ASM384644v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003846445.1_ASM384644v1_genomic_prodigal_genes.fna,100.0,0.0,True,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__,,,,,,GCF_000010065.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus elongatus,84.11,0.78,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__;g__;s__,Placement,taxonomic novelty determined using RED,,95.04,11.0,0.9477630175818776,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Synechococcaceae,Synechococcus,,0.5489999999999999,2.691022,Synechococcus elongatus PCC 11801,PCC 11801,Synechococcus,elongatus.x,PCC 11801,Synechococcus_sp.x_PCC 11801,GCA_003846445.1_ASM384644v1_genomic_prodigal_proteins.faa,Synechococcus_sp._PCC 11801 # GCA_003846445.1
GCA_003957805.1,PRJNA496333,SAMN09724271,,,na,,2479200,32046,,latest,Complete Genome,Major,Full,2018/12/21,ASM395780v1,"University of California, San Diego",GCF_003957805.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/957/805/GCA_003957805.1_ASM395780v1,./genbank/bacteria/GCA_003957805.1/GCA_003957805.1_ASM395780v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_003957805.1_ASM395780v1_genomic.fna,GCA_003957805.1_ASM395780v1,True,..//ncbi/processing/prodigal_proteins/GCA_003957805.1_ASM395780v1_genomic_prodigal_proteins.faa,../data/ncbi/processing/prodigal_genes/GCA_003957805.1_ASM395780v1_genomic_prodigal_genes.fna,100.0,0.0,True,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus elongatus,GCF_000010065.1,95.0,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus elongatus,98.57,0.97,GCF_000010065.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus elongatus,98.57,0.97,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__;g__;s__,ANI/Placement,topological placement and ANI have congruent species assignments,,96.11,11.0,,,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus elongatus,0.55123,2.881223,Synechococcus elongatus UTEX 3055,strain=UTEX 3055,Synechococcus,elongatus,UTEX_3055,Synechococcus_elongatus_UTEX_3055,GCA_003957805.1_ASM395780v1_genomic_prodigal_proteins.faa,Synechococcus_elongatus_UTEX_3055 # GCA_003957805.1
