Name	number_unique_genes	number_multiple_genes	number_missing_genes	list_unique_genes	list_multiple_genes	list_missing_genes
GCA_902548805.1	5	0	115	TIGR00086,TIGR00635,TIGR00963,TIGR01039,TIGR01146		PF00380.14,PF00410.14,PF00466.15,PF01025.14,PF02576.12,PF03726.9,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00382,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00631,TIGR00634,TIGR00643,TIGR00663,TIGR00717,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02350,TIGR02386,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953
GCA_902560665.1	9	0	111	TIGR00092,TIGR00115,TIGR00168,TIGR00382,TIGR00435,TIGR00593,TIGR01032,TIGR01059,TIGR02397		PF00380.14,PF00410.14,PF00466.15,PF01025.14,PF02576.12,PF03726.9,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00095,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00615,TIGR00631,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01039,TIGR01044,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02350,TIGR02386,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953
GCA_902540675.1	29	0	91	PF00410.14,PF00466.15,PF03726.9,TIGR00115,TIGR00382,TIGR00392,TIGR00631,TIGR00755,TIGR00810,TIGR00963,TIGR00967,TIGR01009,TIGR01017,TIGR01021,TIGR01032,TIGR01044,TIGR01071,TIGR01079,TIGR01164,TIGR01171,TIGR01391,TIGR01394,TIGR02012,TIGR02027,TIGR02397,TIGR03625,TIGR03632,TIGR03654,TIGR03953		PF00380.14,PF01025.14,PF02576.12,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00922,TIGR00928,TIGR00959,TIGR00964,TIGR01011,TIGR01029,TIGR01039,TIGR01059,TIGR01063,TIGR01066,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01169,TIGR01302,TIGR01393,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02013,TIGR02075,TIGR02191,TIGR02273,TIGR02350,TIGR02386,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03723,TIGR03725
GCA_902533725.1	5	0	115	PF03726.9,TIGR00054,TIGR00460,TIGR01039,TIGR01146		PF00380.14,PF00410.14,PF00466.15,PF01025.14,PF02576.12,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00382,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00459,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00631,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02350,TIGR02386,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953
GCA_902582045.1	5	0	115	TIGR00086,TIGR00635,TIGR02191,TIGR02273,TIGR02729		PF00380.14,PF00410.14,PF00466.15,PF01025.14,PF02576.12,PF03726.9,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00382,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00631,TIGR00634,TIGR00643,TIGR00663,TIGR00717,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02350,TIGR02386,TIGR02397,TIGR02432,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953
GCA_902575935.1	25	0	95	PF00380.14,TIGR00019,TIGR00059,TIGR00115,TIGR00382,TIGR00442,TIGR00967,TIGR01009,TIGR01021,TIGR01029,TIGR01032,TIGR01044,TIGR01066,TIGR01071,TIGR01079,TIGR01164,TIGR01171,TIGR01394,TIGR02012,TIGR02027,TIGR02397,TIGR02729,TIGR03625,TIGR03632,TIGR03953		PF00410.14,PF00466.15,PF01025.14,PF02576.12,PF03726.9,TIGR00006,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00631,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR00963,TIGR00964,TIGR01011,TIGR01017,TIGR01039,TIGR01059,TIGR01063,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01169,TIGR01302,TIGR01391,TIGR01393,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02013,TIGR02075,TIGR02191,TIGR02273,TIGR02350,TIGR02386,TIGR02432,TIGR03263,TIGR03594,TIGR03654,TIGR03723,TIGR03725
GCA_902579345.1	2	0	118	TIGR00084,TIGR02729		PF00380.14,PF00410.14,PF00466.15,PF01025.14,PF02576.12,PF03726.9,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00382,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00631,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02350,TIGR02386,TIGR02397,TIGR02432,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953
GCA_902589915.1	8	0	112	TIGR00168,TIGR00392,TIGR00631,TIGR00963,TIGR01059,TIGR02191,TIGR02273,TIGR02432		PF00380.14,PF00410.14,PF00466.15,PF01025.14,PF02576.12,PF03726.9,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00382,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02350,TIGR02386,TIGR02397,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953
GCA_902549675.1	32	0	88	PF01025.14,PF02576.12,PF03726.9,TIGR00029,TIGR00054,TIGR00083,TIGR00088,TIGR00115,TIGR00138,TIGR00337,TIGR00382,TIGR00414,TIGR00436,TIGR00459,TIGR00468,TIGR00487,TIGR00631,TIGR00755,TIGR00928,TIGR00963,TIGR01029,TIGR01032,TIGR01082,TIGR01128,TIGR01393,TIGR01953,TIGR02013,TIGR02397,TIGR02432,TIGR03263,TIGR03594,TIGR03723		PF00380.14,PF00410.14,PF00466.15,TIGR00006,TIGR00019,TIGR00020,TIGR00043,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00084,TIGR00086,TIGR00090,TIGR00092,TIGR00095,TIGR00116,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00250,TIGR00344,TIGR00362,TIGR00392,TIGR00396,TIGR00398,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00442,TIGR00445,TIGR00456,TIGR00460,TIGR00472,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00810,TIGR00922,TIGR00959,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01039,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01087,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR02012,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02350,TIGR02386,TIGR02729,TIGR03625,TIGR03632,TIGR03654,TIGR03725,TIGR03953
GCA_902592305.1	6	0	114	TIGR00158,TIGR00382,TIGR00398,TIGR00472,TIGR00615,TIGR00631		PF00380.14,PF00410.14,PF00466.15,PF01025.14,PF02576.12,PF03726.9,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00392,TIGR00396,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02350,TIGR02386,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953
