assembly_id	label	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree
GCA_000007925.1_ASM792v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_Prochlorococcus_marinus_CCMP1375_SS120_#_GCA_000007925.1	NA	238	238	94.82	0.00	234	Yes
GCA_000009705.1_ASM970v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Nostocaceae_g_Trichormus_Nostoc_sp._PCC_7120_=_FACHB-418_Trichormus_sp000009705_#_GCA_000009705.1	NA	246	237	98.01	3.98	227	Yes
GCA_000009725.1_ASM972v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Synechocystis_Synechocystis_sp000284455_PCC_6803_#_GCA_000009725.1	NA	246	246	98.01	0.00	239	Yes
GCA_000010065.1_ASM1006v1_genomic_prodigal_proteins	Synechococcus_elongatus_PCC_6301_#_GCA_000010065.1	NA	243	243	96.81	0.00	233	Yes
GCA_000010625.1_ASM1062v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Cyanobacteriales_f_Microcystaceae_g_Microcystis_Microcystis_aeruginosa_B_NIES-843_#_GCA_000010625.1	NA	246	242	98.01	1.99	235	Yes
GCA_000011345.1_ASM1134v1_genomic_prodigal_proteins	Thermosynechococcus_elongatus_BP-1_#_GCA_000011345.1	NA	246	245	98.01	0.40	235	Yes
GCA_000011385.1_ASM1138v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Gloeobacterales_f_Gloeobacteraceae_g_Gloeobacter_Gloeobacter_violaceus_PCC_7421_#_GCA_000011385.1	NA	235	228	93.63	2.79	218	Yes
GCA_000011465.1_ASM1146v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_A_s_Prochlorococcus_A_marinus_S_#_GCA_000011465.1	NA	241	241	96.02	0.00	237	Yes
GCA_000011485.1_ASM1148v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_C_Prochlorococcus_C_marinus_B_MIT9313_#_GCA_000011485.1	NA	237	236	94.42	0.40	229	Yes
GCA_000012465.1_ASM1246v1_genomic_prodigal_proteins	c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Prochlorococcus_B_Prochlorococcus_B_marinus_B_NATL2A_#_GCA_000012465.1	NA	235	233	93.63	0.80	227	Yes
