,assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,local_fna,filename,is_synecho
0,GCA_009919765.1,PRJNA495371,SAMN10223114,RGBH00000000.1,derived from metagenome,na,,1131,1131,Synechococcus sp.,,WB6_4_196,latest,Contig,Major,Full,2020/01/23,ASM991976v1,Georgia Institute of Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/919/765/GCA_009919765.1_ASM991976v1,./genbank/bacteria/GCA_009919765.1/GCA_009919765.1_ASM991976v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_009919765.1_ASM991976v1_genomic.fna,GCA_009919765.1_ASM991976v1,True
1,GCA_011047875.1,PRJNA480137,SAMN09639364,DSMC00000000.1,derived from metagenome,na,,1131,1131,Synechococcus sp.,,SpSt-285,latest,Scaffold,Major,Full,2020/03/02,ASM1104787v1,The University of Hong Kong,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/047/875/GCA_011047875.1_ASM1104787v1,./genbank/bacteria/GCA_011047875.1/GCA_011047875.1_ASM1104787v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_011047875.1_ASM1104787v1_genomic.fna,GCA_011047875.1_ASM1104787v1,True
2,GCA_011055065.1,PRJNA480137,SAMN09639229,DSGY00000000.1,derived from metagenome,na,,1131,1131,Synechococcus sp.,,SpSt-164,latest,Scaffold,Major,Full,2020/03/02,ASM1105506v1,The University of Hong Kong,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/055/065/GCA_011055065.1_ASM1105506v1,./genbank/bacteria/GCA_011055065.1/GCA_011055065.1_ASM1105506v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_011055065.1_ASM1105506v1_genomic.fna,GCA_011055065.1_ASM1105506v1,True
3,GCA_012269695.1,PRJNA545004,SAMN12098012,JAAXJU000000000.1,derived from metagenome,na,,1131,1131,Synechococcus sp.,,SW42618_bin_11,latest,Scaffold,Major,Full,2020/04/09,ASM1226969v1,Australian Centre for Ecogenomics,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/269/695/GCA_012269695.1_ASM1226969v1,./genbank/bacteria/GCA_012269695.1/GCA_012269695.1_ASM1226969v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_012269695.1_ASM1226969v1_genomic.fna,GCA_012269695.1_ASM1226969v1,True
4,GCA_012270465.1,PRJNA545004,SAMN12098011,JAAXIH000000000.1,derived from metagenome,na,,1131,1131,Synechococcus sp.,,SW22112_bin_11,latest,Scaffold,Major,Full,2020/04/09,ASM1227046v1,Australian Centre for Ecogenomics,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/270/465/GCA_012270465.1_ASM1227046v1,./genbank/bacteria/GCA_012270465.1/GCA_012270465.1_ASM1227046v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_012270465.1_ASM1227046v1_genomic.fna,GCA_012270465.1_ASM1227046v1,True
5,GCA_001182765.1,PRJEB8389,SAMEA3233744,,,na,,29410,29410,Synechococcus sp. WH 8103,,WH 8103,latest,Complete Genome,Major,Full,2015/07/10,WH8103.1,STATION BIOLOGIQUE DE ROSCOFF (CNRS - UPMC) - UMR7144 - MAPP TEAM,GCF_001182765.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/182/765/GCA_001182765.1_WH8103.1,./genbank/bacteria/GCA_001182765.1/GCA_001182765.1_WH8103.1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_001182765.1_WH8103.1_genomic.fna,GCA_001182765.1_WH8103.1,True
6,GCA_000010065.1,PRJNA13282,SAMD00061073,,,representative genome,assembly from type material,269084,32046,Synechococcus elongatus PCC 6301,strain=PCC 6301,,latest,Complete Genome,Major,Full,2004/12/16,ASM1006v1,"Nagoya University, Japan",GCF_000010065.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/065/GCA_000010065.1_ASM1006v1,./genbank/bacteria/GCA_000010065.1/GCA_000010065.1_ASM1006v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_000010065.1_ASM1006v1_genomic.fna,GCA_000010065.1_ASM1006v1,True
7,GCA_000012525.1,PRJNA10645,SAMN02598254,,,na,,1140,32046,Synechococcus elongatus PCC 7942 = FACHB-805,strain=PCC 7942,,latest,Complete Genome,Major,Full,2005/11/08,ASM1252v1,DOE Joint Genome Institute,GCF_000012525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/525/GCA_000012525.1_ASM1252v1,./genbank/bacteria/GCA_000012525.1/GCA_000012525.1_ASM1252v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_000012525.1_ASM1252v1_genomic.fna,GCA_000012525.1_ASM1252v1,True
8,GCA_003846445.1,PRJNA476044,SAMN09425400,,,na,,2219813,32046,Synechococcus elongatus PCC 11801,strain=PCC 11801,,latest,Chromosome,Major,Full,2018/11/28,ASM384644v1,Indian Institute of Technology Bombay,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/846/445/GCA_003846445.1_ASM384644v1,./genbank/bacteria/GCA_003846445.1/GCA_003846445.1_ASM384644v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_003846445.1_ASM384644v1_genomic.fna,GCA_003846445.1_ASM384644v1,True
9,GCA_003957805.1,PRJNA496333,SAMN09724271,,,na,,2479200,32046,Synechococcus elongatus UTEX 3055,strain=UTEX 3055,,latest,Complete Genome,Major,Full,2018/12/21,ASM395780v1,"University of California, San Diego",GCF_003957805.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/957/805/GCA_003957805.1_ASM395780v1,./genbank/bacteria/GCA_003957805.1/GCA_003957805.1_ASM395780v1_genomic.fna.gz,../data/ncbi/processing/genomic_fna/GCA_003957805.1_ASM395780v1_genomic.fna,GCA_003957805.1_ASM395780v1,True
