Assembly_name	Original_file_name	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund
GCA_009919765.1_ASM991976v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_009919765.1_ASM991976v1_genomic_prodigal_proteins.faa	NA	218	202	86.85	6.77
GCA_012269695.1_ASM1226969v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_012269695.1_ASM1226969v1_genomic_prodigal_proteins.faa	NA	201	191	80.08	4.38
GCA_012270465.1_ASM1227046v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_012270465.1_ASM1227046v1_genomic_prodigal_proteins.faa	NA	221	214	88.05	2.79
GCA_000161795.2_ASM16179v2_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000161795.2_ASM16179v2_genomic_prodigal_proteins.faa	NA	247	246	98.41	0.40
GCA_001182765.1_WH8103.1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_001182765.1_WH8103.1_genomic_prodigal_proteins.faa	NA	247	245	98.41	0.80
GCA_000195975.1_ASM19597v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000195975.1_ASM19597v1_genomic_prodigal_proteins.faa	NA	247	246	98.41	0.40
GCA_000063505.1_ASM6350v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000063505.1_ASM6350v1_genomic_prodigal_proteins.faa	NA	245	243	97.61	0.80
GCA_013133755.1_ASM1313375v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_013133755.1_ASM1313375v1_genomic_prodigal_proteins.faa	NA	250	248	99.60	0.80
GCA_000012625.1_ASM1262v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000012625.1_ASM1262v1_genomic_prodigal_proteins.faa	NA	248	247	98.80	0.40
GCA_004209775.1_ASM420977v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_004209775.1_ASM420977v1_genomic_prodigal_proteins.faa	NA	250	249	99.60	0.40
GCA_000153285.1_ASM15328v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_000153285.1_ASM15328v1_genomic_prodigal_proteins.faa	NA	248	247	98.80	0.40
GCA_003555505.1_ASM355550v1_genomic_prodigal_proteins	..//ncbi/processing/prodigal_proteins/GCA_003555505.1_ASM355550v1_genomic_prodigal_proteins.faa	NA	244	206	97.21	17.53
